id,age,gender,mothertongue,handedness,vision,vision_impairment,field_of_study,material,stim_duration,isi,block,n_prime,prime1,prime2,prime3,target,prime5,probe,probe_type,probe_response,correct_response,correct,rt
42,22,female,german,right,ok,,biologie,words,250,0,2,5,morn,Junße,Dopps,Halma,heige,HALMA,target,a,a,1,633
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,zeiwel,Ubien,Wolle,vacht,HÜTTE,new,l,l,1,507
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Schungans,Gymnasium,babiä,MEISE,new,l,l,1,458
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Nagame,Bohnen,gohlen,BOHNEN,target,a,a,1,471
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,Cheitem,reiwel,Tiger,wouna,LEOPARD,lure,l,l,1,548
42,22,female,german,right,ok,,biologie,words,250,0,3,5,Onmel,Klalmesser,pudo,Lehrer,lehtop,HOSE,new,l,l,1,508
42,22,female,german,right,ok,,biologie,words,250,0,3,4,,blafraché,Geßenn,Kilometer,pätkasium,KILOMETER,target,a,a,1,377
42,22,female,german,right,ok,,biologie,words,250,0,3,4,,Tumbtung,Neißchen,Trompete,grielöhlner,SYNAGOGE,new,l,l,1,444
42,22,female,german,right,ok,,biologie,words,250,0,3,3,,,peugerv,Fußball,Tadiffe,MAJORAN,new,l,l,1,607
42,22,female,german,right,ok,,biologie,words,250,0,3,4,,hogialler,Plürenten,Handbremse,stirkkadel,KLEBEBAND,new,l,l,1,647
42,22,female,german,right,ok,,biologie,words,250,0,3,5,Horhormirk,mätte,brürze,Helium,niheil,SAUERSTOFF,lure,l,l,1,456
42,22,female,german,right,ok,,biologie,words,250,0,3,3,,,gohs,Tochter,Whiplie,SOFA,new,l,l,1,546
42,22,female,german,right,ok,,biologie,words,250,0,3,3,,,schraht,Theater,Bosänie,THEATER,target,a,a,1,446
42,22,female,german,right,ok,,biologie,words,250,0,3,4,,Senzon,vömer,Hammer,zweiems,HAMBURG,new,a,l,0,498
42,22,female,german,right,ok,,biologie,words,250,0,3,5,Mamperkbusche,leovirm,mennas,Mark,Ziga,DOLLAR,lure,l,l,1,671
42,22,female,german,right,ok,,biologie,words,250,0,3,5,Bisospommer,epes,drappe,Banane,Nagame,LIDSCHATTEN,new,l,l,1,577
42,22,female,german,right,ok,,biologie,words,250,0,3,3,,,Herv,Rhein,meder,MAIN,lure,l,l,1,607
42,22,female,german,right,ok,,biologie,words,250,0,3,4,,Noige,Heder,Fürst,rheit,FÜRST,target,a,a,1,625
42,22,female,german,right,ok,,biologie,words,250,0,3,3,,,pellar,Pfannenwender,Blinhenfender,AFRIKA,new,l,l,1,562
42,22,female,german,right,ok,,biologie,words,250,0,3,3,,,pekkel,Masern,Zalner,MASERN,target,a,a,1,531
42,22,female,german,right,ok,,biologie,words,250,0,3,5,Bärle,Maune,Bechalezu,Wespe,bedre,KANNE,new,l,l,1,528
42,22,female,german,right,ok,,biologie,words,250,0,3,4,,bledesand,plumpwen,Erdkunde,Madser,TEELÖFFEL,new,l,l,1,562
