subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating;VF_pos;VF_neg
52;3;33;5.0;positive;H   E   M   K;maske_2.bmp;maske_1.bmp;Mother 1.jpg;0.07799999999999996;1;1;20;30;0.001;5;yes;no
52;3;34;2.5;positive;S   V   A   W;maske_2.bmp;maske_1.bmp;Birthday 1.jpg;0.02899999999999997;1;1;18;34;0.001;1;yes;no
52;3;35;5.0;positive;K   L   E   M;maske_2.bmp;maske_1.bmp;Beach 4.jpg;0.07799999999999996;1;1;20;30;0.001;5;yes;no
52;3;36;2.5;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Gazing 6.jpg;0.02999999999999997;1;1;18;34;0.001;2;yes;no
52;3;37;5.0;negative;N   U   G   Z;maske_1.bmp;maske_2.bmp;Fence 4.jpg;0.07799999999999996;1;1;20;30;0.001;5;no;yes
52;3;38;2.5;negative;F   O   R   B;maske_1.bmp;maske_2.bmp;Garbage dump 5.jpg;0.030999999999999972;1;1;18;34;0.001;1;no;yes
52;3;39;2.5;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Prison 2.jpg;0.03199999999999997;1;1;18;34;0.001;1;no;yes
52;3;40;5.0;negative;Z   U   N   T;maske_1.bmp;maske_2.bmp;Jail 1.jpg;0.07799999999999996;1;1;20;30;0.001;1;no;yes
52;3;41;2.5;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Destruction 2.jpg;0.032999999999999974;1;1;18;34;0.001;1;no;yes
52;3;42;2.5;positive;S   P   A   V;maske_2.bmp;maske_1.bmp;Mother 6.jpg;0.033999999999999975;1;1;18;34;0.001;1;no;yes
52;3;43;5.0;positive;K   E   H   M;maske_2.bmp;maske_1.bmp;Alcohol 5.jpg;0.07899999999999996;1;1;20;30;0.001;1;yes;no
52;3;44;5.0;negative;G   U   T   Z;maske_2.bmp;maske_1.bmp;Baby 7.jpg;0.07999999999999996;1;1;20;30;0.001;5;no;yes
52;3;45;5.0;positive;L   E   M   K;maske_1.bmp;maske_2.bmp;Zebra 1.jpg;0.07999999999999996;1;1;20;30;0.001;5;yes;no
52;3;46;5.0;positive;M   E   H   K;maske_2.bmp;maske_1.bmp;Chipmunk 1.jpg;0.07999999999999996;1;1;20;30;0.001;5;yes;no
52;3;47;2.5;positive;V   A   P   S;maske_2.bmp;maske_1.bmp;Beach 5.jpg;0.034999999999999976;1;-1;19;35;0.001;4;yes;no
52;3;48;2.5;negative;B   J   O   F;maske_1.bmp;maske_2.bmp;Destruction 10.jpg;0.033999999999999975;-1;-1;19;35;0.001;4;no;yes
52;3;49;5.0;negative;T   U   G   Z;maske_1.bmp;maske_2.bmp;Hangover 1.jpg;0.07999999999999996;1;1;20;30;0.001;3;yes;no
52;3;50;5.0;negative;G   N   U   Z;maske_2.bmp;maske_1.bmp;Garbage dump 6.jpg;0.08099999999999996;1;1;20;30;0.001;4;no;yes
52;3;51;2.5;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Soup 1.jpg;0.032999999999999974;-1;-1;19;35;0.001;4;no;yes
52;3;52;5.0;positive;K   L   E   H;maske_1.bmp;maske_2.bmp;Bird 1.jpg;0.08199999999999996;1;1;20;30;0.001;5;yes;no
52;3;53;2.5;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Excited face 5.jpg;0.03199999999999997;-1;1;20;36;0.001;2;yes;no
52;3;54;2.5;negative;J   O   R   F;maske_2.bmp;maske_1.bmp;Destruction 7.jpg;0.032999999999999974;1;1;20;36;0.001;2;no;yes
52;3;55;2.5;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Fire 2.jpg;0.033999999999999975;1;1;20;36;0.001;1;no;yes
52;3;56;2.5;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Cockroach 1.jpg;0.034999999999999976;1;1;20;36;0.001;1;no;yes
52;3;57;5.0;negative;Z   U   N   G;maske_1.bmp;maske_2.bmp;Angry face 3.jpg;0.08199999999999996;1;1;20;30;0.001;5;no;yes
52;3;58;2.5;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Sunset 3.jpg;0.035999999999999976;1;-1;21;37;0.001;4;yes;no
