trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
284,3,cs3.bmp,neu,900,7640.jpg,1000,maske_12.bmp,500,maske_4.bmp,100,7090.jpg,7640.jpg,5920.JPG,2635.jpg,1616.jpg,5731.jpg
80,3,cs21.bmp,pos,100,1463.jpg,1000,maske_11.bmp,500,maske_4.bmp,900,cs26.bmp,cs21.bmp,cs5.bmp,cs23.bmp,cs4.bmp,cs20.bmp
302,3,cs24.bmp,neu,30,4631.JPG,1000,maske_2.bmp,500,maske_8.bmp,970,2220.jpg,2635.jpg,2487.jpg,4631.JPG,2575.jpg,7090.jpg
332,3,cs16.bmp,neu,900,7000.jpg,1000,maske_12.bmp,500,maske_4.bmp,100,1616.jpg,2372.jpg,7000.jpg,7233.jpg,5740.jpg,5731.jpg
314,3,cs29.bmp,neu,100,4631.JPG,1000,maske_8.bmp,500,maske_11.bmp,900,5920.JPG,1616.jpg,7640.jpg,1121.jpg,8211.jpg,4631.JPG
248,3,cs1.bmp,neu,30,2220.jpg,1000,maske_2.bmp,500,maske_7.bmp,970,5740.jpg,2220.jpg,8211.jpg,7620.JPG,4631.JPG,7004.jpg
224,3,cs13.bmp,neg,900,9000.jpg,1000,maske_4.bmp,500,maske_9.bmp,100,cs27.bmp,cs11.bmp,cs30.bmp,cs8.bmp,cs13.bmp,cs17.bmp
290,3,cs24.bmp,neu,30,1121.jpg,1000,maske_7.bmp,500,maske_6.bmp,970,3550.2.jpg,5740.jpg,5455.jpg,7233.jpg,2580.jpg,1121.jpg
26,3,cs22.bmp,pos,30,7330.JPG,1000,maske_12.bmp,500,maske_2.bmp,970,cs20.bmp,cs22.bmp,cs5.bmp,cs14.bmp,cs21.bmp,cs15.bmp
110,3,cs4.bmp,pos,900,2395.jpg,1000,maske_3.bmp,500,maske_6.bmp,100,cs15.bmp,cs5.bmp,cs14.bmp,cs26.bmp,cs4.bmp,cs21.bmp
140,3,cs12.bmp,neg,30,9000.jpg,1000,maske_12.bmp,500,maske_10.bmp,970,cs17.bmp,cs11.bmp,cs7.bmp,cs27.bmp,cs8.bmp,cs12.bmp
308,3,cs24.bmp,neu,30,7187.jpg,1000,maske_11.bmp,500,maske_10.bmp,970,7187.jpg,1616.jpg,7640.jpg,7233.jpg,5395.jpg,1121.jpg
206,3,cs8.bmp,neg,100,2750.jpg,1000,maske_9.bmp,500,maske_1.bmp,900,cs19.bmp,cs27.bmp,cs12.bmp,cs8.bmp,cs17.bmp,cs6.bmp
260,3,cs1.bmp,neu,30,7000.jpg,1000,maske_3.bmp,500,maske_11.bmp,970,5740.jpg,5535.jpg,7187.jpg,3550.2.jpg,7000.jpg,4631.JPG
188,3,cs19.bmp,neg,30,9000.jpg,1000,maske_2.bmp,500,maske_4.bmp,970,cs13.bmp,cs17.bmp,cs19.bmp,cs6.bmp,cs27.bmp,cs18.bmp
296,3,cs24.bmp,neu,30,2220.jpg,1000,maske_10.bmp,500,maske_9.bmp,970,8211.jpg,7503.JPG,2220.jpg,3550.2.jpg,7640.jpg,7550.jpg
152,3,cs11.bmp,neg,30,3181.jpg,1000,maske_8.bmp,500,maske_6.bmp,970,cs11.bmp,cs8.bmp,cs18.bmp,cs30.bmp,cs19.bmp,cs25.bmp
230,3,cs27.bmp,neg,900,9330.jpg,1000,maske_5.bmp,500,maske_9.bmp,100,cs13.bmp,cs27.bmp,cs17.bmp,cs25.bmp,cs8.bmp,cs19.bmp
242,3,cs1.bmp,neu,30,1313.jpg,1000,maske_4.bmp,500,maske_5.bmp,970,4631.JPG,7820.jpg,1616.jpg,2487.jpg,1313.jpg,7503.JPG
236,3,cs27.bmp,neg,900,6311.jpg,1000,maske_11.bmp,500,maske_7.bmp,100,cs19.bmp,cs30.bmp,cs27.bmp,cs11.bmp,cs12.bmp,cs13.bmp
99,4,cs28.bmp,pos,900,2341.jpg,1000,maske_2.bmp,500,maske_8.bmp,100,cs2.bmp,cs14.bmp,cs28.bmp,cs23.bmp,cs21.bmp,cs20.bmp
87,4,cs14.bmp,pos,100,2209.jpg,1000,maske_8.bmp,500,maske_10.bmp,900,cs28.bmp,cs20.bmp,cs26.bmp,cs2.bmp,cs14.bmp,cs23.bmp
15,4,cs10.bmp,pos,30,5830.JPG,1000,maske_8.bmp,500,maske_9.bmp,970,cs10.bmp,cs26.bmp,cs23.bmp,cs5.bmp,cs22.bmp,cs4.bmp
321,4,cs29.bmp,neu,100,7504.jpg,1000,maske_5.bmp,500,maske_8.bmp,900,5535.jpg,2220.jpg,7550.jpg,2372.jpg,7504.jpg,2575.jpg
261,4,cs1.bmp,neu,30,5920.JPG,1000,maske_9.bmp,500,maske_6.bmp,970,7490.jpg,7640.jpg,5535.jpg,5920.JPG,5731.jpg,7550.jpg
279,4,cs3.bmp,neu,900,7080.jpg,1000,maske_7.bmp,500,maske_4.bmp,100,5731.jpg,1616.jpg,7080.jpg,5920.JPG,5535.jpg,7820.jpg
165,4,cs25.bmp,neg,30,2141.jpg,1000,maske_6.bmp,500,maske_10.bmp,970,cs18.bmp,cs27.bmp,cs11.bmp,cs17.bmp,cs8.bmp,cs25.bmp
189,4,cs19.bmp,neg,30,2276.jpg,1000,maske_12.bmp,500,maske_10.bmp,970,cs19.bmp,cs30.bmp,cs7.bmp,cs25.bmp,cs18.bmp,cs6.bmp
129,4,cs7.bmp,neg,30,9435.jpg,1000,maske_4.bmp,500,maske_2.bmp,970,cs18.bmp,cs30.bmp,cs25.bmp,cs12.bmp,cs7.bmp,cs13.bmp
