subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
2,9,4,ec,1,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,2057.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,5,ec,7,positive,W   A   D   S,maske_1.bmp,maske_2.bmp,2091.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,6,ec,6,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,5831.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,7,ec,1,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,9041.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,8,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,7502.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,9,ec,2,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,5629.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,10,ec,4,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,7470.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,11,ec,2,negative,F   O   R   B,maske_2.bmp,maske_1.bmp,8485.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,9,12,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9630.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,9,13,ec,6,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,2276.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,14,ec,5,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,4606.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,15,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,3160.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,9,16,ec,4,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9421.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,17,ec,3,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,2058.bmp,0.083,no,no,yes,no,no,no,no,no,no
